run_id,model,augment,seed,split,auc,eer,tpr_at_1pct_fpr,tpr_at_01pct_fpr
mert_head_aug-none_seed0,mert_head,none,0,test,0.9764318630678077,0.06797235023041473,0.7183673469387755,0.7183673469387755
mert_head_aug-none_seed0,mert_head,none,0,ood,0.9589830508474576,0.10508474576271189,0.5423728813559322,0.5423728813559322
muq_head_aug-none_seed0,muq_head,none,0,val,0.9217233362394652,0.1326213310084278,0.2010752688172043,0.2010752688172043
muq_head_aug-none_seed0,muq_head,none,0,test,0.9570770243581302,0.09124423963133642,0.45102040816326533,0.45102040816326533
muq_head_aug-none_seed0,muq_head,none,0,ood,0.9908474576271187,0.0723728813559322,0.788135593220339,0.788135593220339
moss_nano_head_aug-none_seed0,moss_nano_head,none,0,val,0.9508573089218251,0.13477186864283638,0.40860215053763443,0.40860215053763443
moss_nano_head_aug-none_seed0,moss_nano_head,none,0,test,0.9639236339697169,0.09430546412113232,0.2979591836734694,0.2979591836734694
moss_nano_head_aug-none_seed0,moss_nano_head,none,0,ood,0.9747457627118644,0.10084745762711862,0.7033898305084746,0.7033898305084746
clap_head_aug-none_seed0,clap_head,none,0,val,0.8029860505666957,0.27898866608544026,0.08064516129032258,0.08064516129032258
clap_head_aug-none_seed0,clap_head,none,0,test,0.7969387755102041,0.2627057274522712,0.018367346938775512,0.018367346938775512
clap_head_aug-none_seed0,clap_head,none,0,ood,0.9171186440677965,0.156271186440678,0.09322033898305085,0.09322033898305085
lcnn_aug-none_seed0,lcnn,none,0,val,0.8366753850624818,0.2293809938971229,0.08387096774193549,0.08387096774193549
lcnn_aug-none_seed0,lcnn,none,0,test,0.855464121132324,0.2251481237656353,0.21224489795918366,0.21224489795918366
lcnn_aug-none_seed0,lcnn,none,0,ood,0.9338983050847458,0.11932203389830509,0.025423728813559324,0.025423728813559324
lcnn_aug-none_ablation,lcnn,none,42,val,0.8420589944783493,0.22884335948852075,0.18387096774193548,0.18387096774193548
lcnn_aug-none_ablation,lcnn,none,42,ood,0.9747457627118643,0.10084745762711862,0.6779661016949152,0.6779661016949152
lcnn_aug-specaug_ablation,lcnn,specaug,42,val,0.836653589072944,0.2315315315315315,0.08817204301075268,0.08817204301075268
lcnn_aug-specaug_ablation,lcnn,specaug,42,ood,0.98,0.10084745762711862,0.8305084745762712,0.8305084745762712
lcnn_aug-mixup_ablation,lcnn,mixup,42,val,0.827332170880558,0.21563498982853824,0.02258064516129032,0.02258064516129032
lcnn_aug-mixup_ablation,lcnn,mixup,42,ood,0.9703389830508474,0.09661016949152541,0.5423728813559322,0.5423728813559322
lcnn_aug-codec_ablation,lcnn,codec,42,val,0.8420589944783493,0.22884335948852075,0.18387096774193548,0.18387096774193548
lcnn_aug-codec_ablation,lcnn,codec,42,ood,0.9747457627118643,0.10084745762711862,0.6779661016949152,0.6779661016949152
lcnn_aug-noise_ablation,lcnn,noise,42,val,0.8447108398721302,0.24635280441732058,0.14731182795698924,0.14731182795698924
lcnn_aug-noise_ablation,lcnn,noise,42,ood,0.9716101694915253,0.08237288135593221,0.6779661016949152,0.6779661016949152
lcnn_aug-pitch_shift_ablation,lcnn,pitch_shift,42,val,0.8386806160999709,0.23045626271432723,0.1043010752688172,0.1043010752688172
lcnn_aug-pitch_shift_ablation,lcnn,pitch_shift,42,ood,0.98,0.09661016949152541,0.8305084745762712,0.8305084745762712
lcnn_aug-loudness_ablation,lcnn,loudness,42,val,0.8124237140366173,0.25879104911362977,0.07096774193548387,0.07096774193548387
lcnn_aug-loudness_ablation,lcnn,loudness,42,ood,0.9479661016949152,0.10084745762711862,0.00847457627118644,0.00847457627118644
lcnn_aug-reverb_ablation,lcnn,reverb,42,val,0.8318730020342926,0.23690787561755305,0.060215053763440864,0.060215053763440864
lcnn_aug-reverb_ablation,lcnn,reverb,42,ood,0.9688135593220338,0.11932203389830509,0.6949152542372882,0.6949152542372882
lcnn_aug-combined_safe_ablation,lcnn,combined_safe,42,val,0.8293446672478931,0.23690787561755305,0.1043010752688172,0.1043010752688172
lcnn_aug-combined_safe_ablation,lcnn,combined_safe,42,ood,0.9605084745762711,0.1235593220338983,0.5847457627118644,0.5847457627118644
lcnn_aug-combined_aggressive_ablation,lcnn,combined_aggressive,42,val,0.8265547805870386,0.23206916594013366,0.043010752688172046,0.043010752688172046
lcnn_aug-combined_aggressive_ablation,lcnn,combined_aggressive,42,ood,0.953728813559322,0.1235593220338983,0.7033898305084746,0.7033898305084746
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,val,0.9088419064225517,0.18653007846556233,0.47634408602150535,0.47634408602150535
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,test,0.8624753127057275,0.22004608294930877,0.42653061224489797,0.42653061224489797
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,ood,0.8747457627118644,0.23288135593220338,0.00847457627118644,0.00847457627118644
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,val,0.9028625399593141,0.17493461203138622,0.4182795698924731,0.4182795698924731
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,test,0.8411454904542462,0.24045424621461486,0.4346938775510204,0.4346938775510204
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,ood,0.8406779661016949,0.2428813559322034,0.01694915254237288,0.01694915254237288
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,val,0.910752688172043,0.17278407439697763,0.4096774193548387,0.4096774193548387
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,test,0.8563857801184991,0.25352205398288347,0.39591836734693875,0.39591836734693875
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,ood,0.8638135593220339,0.19322033898305083,0.00847457627118644,0.00847457627118644
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,val,0.8971083987213018,0.1881429816913688,0.2870967741935484,0.2870967741935484
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,test,0.8551678736010534,0.25862409479921,0.5020408163265306,0.5020408163265306
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,ood,0.8630508474576272,0.2259322033898305,0.11864406779661017,0.11864406779661017
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,val,0.8790177274048241,0.196512641673932,0.3150537634408602,0.3150537634408602
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,test,0.8452271231073075,0.2545424621461488,0.4530612244897959,0.4530612244897959
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,ood,0.8561016949152542,0.2301694915254237,0.2711864406779661,0.2711864406779661
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,val,0.8827085149665795,0.19973844812554492,0.2118279569892473,0.2118279569892473
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,test,0.9150098749177089,0.16737985516787357,0.3081632653061224,0.3081632653061224
multiview_aug-combined_safe_seed0,multiview,combined_safe,0,ood,0.9816949152542372,0.06389830508474578,0.5423728813559322,0.5423728813559322
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,val,0.8804054054054054,0.2018889857599535,0.26129032258064516,0.26129032258064516
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,test,0.9225806451612902,0.14493087557603684,0.4530612244897959,0.4530612244897959
multiview_aug-combined_safe_seed1,multiview,combined_safe,1,ood,0.9747457627118645,0.09661016949152541,0.5338983050847458,0.5338983050847458
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,val,0.8941441441441441,0.18868061609997097,0.221505376344086,0.221505376344086
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,test,0.9307439104674128,0.16737985516787357,0.32448979591836735,0.32448979591836735
multiview_aug-combined_safe_seed2,multiview,combined_safe,2,ood,0.9722033898305086,0.11508474576271188,0.6610169491525424,0.6610169491525424
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,val,0.8901554780587039,0.1956698634117989,0.16666666666666666,0.16666666666666666
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,test,0.9358130348913758,0.18778801843317972,0.3795918367346939,0.3795918367346939
multiview_aug-combined_safe_seed3,multiview,combined_safe,3,ood,0.9595762711864407,0.08389830508474579,0.4915254237288136,0.4915254237288136
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,val,0.8882446963092124,0.18921825050857308,0.31827956989247314,0.31827956989247314
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,test,0.9303818301514154,0.15513495720868992,0.5040816326530613,0.5040816326530613
multiview_aug-combined_safe_seed4,multiview,combined_safe,4,ood,0.969406779661017,0.05694915254237289,0.4576271186440678,0.4576271186440678
convnext_aug-none_seed0,convnext,none,0,val,0.5602077884335949,0.44968032548677705,0.015053763440860216,0.015053763440860216
convnext_aug-none_seed0,convnext,none,0,test,0.6203752468729428,0.4182685977616853,0.02040816326530612,0.02040816326530612
convnext_aug-none_seed0,convnext,none,0,ood,0.6626271186440678,0.3798305084745763,0.025423728813559324,0.025423728813559324
vit_aug-none_seed0,vit,none,0,val,0.7381720430107527,0.3361232199941877,0.04408602150537634,0.04408602150537634
vit_aug-none_seed0,vit,none,0,test,0.7690585911784069,0.2869980250164582,0.06938775510204082,0.06938775510204082
vit_aug-none_seed0,vit,none,0,ood,0.6879661016949152,0.3622033898305085,0.0,0.0
