model,base_model,thinking_alias,mood_tag,n_model,n_human,count_model,count_human,prevalence_model,prevalence_human,diff_model_minus_human,diff_ci_low,diff_ci_high,p_fisher,q_fdr_global
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Wonder,571,591,117,37,0.20490367775831875,0.06260575296108291,0.14229792479723585,0.10385889543185459,0.18073695416261712,4.284832788855145e-13,1.3221769748467305e-12
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Transcendence,571,591,118,35,0.20665499124343256,0.05922165820642978,0.1474333330370028,0.1091557286173027,0.18571093745670286,4.4270919609488484e-14,1.406252740536693e-13
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Tenderness,571,591,440,37,0.7705779334500875,0.06260575296108291,0.7079721804890046,0.6683379742049136,0.7476063867730955,2.073993670427085e-149,1.1199565820306258e-147
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Nostalgia,571,591,266,84,0.4658493870402802,0.14213197969543148,0.3237174073448488,0.274051687016962,0.37338312767273557,3.3464187178557247e-34,1.9021748501495697e-33
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Peacefulness,571,591,245,68,0.4290718038528897,0.11505922165820642,0.31401258219468325,0.2659504757744594,0.3620746886149071,1.4559516579410805e-34,9.249575238684511e-34
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Power,571,591,28,108,0.04903677758318739,0.18274111675126903,-0.13370433916808164,-0.16954444998460788,-0.0978642283515554,5.468402524884431e-13,1.6405207574653293e-12
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Joyful activation,571,591,47,86,0.08231173380035026,0.1455160744500846,-0.06320434064973435,-0.09948707076744825,-0.026921610532020433,0.0008574167370102202,0.001187192405091074
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Tension,571,591,6,56,0.010507880910683012,0.09475465313028765,-0.08424677221960464,-0.1092969701362569,-0.05919657430295237,1.3911485546456975e-11,3.577239140517508e-11
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,Sadness,571,591,7,32,0.012259194395796848,0.05414551607445008,-0.041886321678653235,-0.06224228118107404,-0.021530362176232425,5.876096855341598e-05,8.93828817432243e-05
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Wonder,571,591,29,37,0.050788091068301226,0.06260575296108291,-0.011817661892781682,-0.03838476830129678,0.014749444515733415,0.4472183959484494,0.4829958676243254
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Transcendence,571,591,1,35,0.0017513134851138354,0.05922165820642978,-0.057470344721315944,-0.07680723450589269,-0.0381334549367392,7.726868388438106e-10,1.738545387398574e-09
